time_iso8601,stars_cumulative
2025-03-18 00:00:00+00:00,89
2025-03-19 00:00:00+00:00,428
2025-03-20 00:00:00+00:00,615
2025-03-21 00:00:00+00:00,710
2025-03-22 00:00:00+00:00,758
2025-03-23 00:00:00+00:00,811
2025-03-24 00:00:00+00:00,866
2025-03-25 00:00:00+00:00,941
2025-03-26 00:00:00+00:00,987
2025-03-27 00:00:00+00:00,1030
2025-03-28 00:00:00+00:00,1060
2025-03-29 00:00:00+00:00,1090
2025-03-30 00:00:00+00:00,1111
2025-03-31 00:00:00+00:00,1144
2025-04-01 00:00:00+00:00,1175
2025-04-02 00:00:00+00:00,1197
2025-04-03 00:00:00+00:00,1238
2025-04-04 00:00:00+00:00,1261
2025-04-05 00:00:00+00:00,1292
2025-04-06 00:00:00+00:00,1314
2025-04-07 00:00:00+00:00,1348
2025-04-08 00:00:00+00:00,1376
2025-04-09 00:00:00+00:00,1410
2025-04-10 00:00:00+00:00,1439
2025-04-11 00:00:00+00:00,1467
2025-04-12 00:00:00+00:00,1487
2025-04-13 00:00:00+00:00,1504
2025-04-14 00:00:00+00:00,1520
2025-04-15 00:00:00+00:00,1542
2025-04-16 00:00:00+00:00,1568
2025-04-17 00:00:00+00:00,1590
2025-04-18 00:00:00+00:00,1616
2025-04-19 00:00:00+00:00,1637
2025-04-20 00:00:00+00:00,1651
2025-04-21 00:00:00+00:00,1677
2025-04-22 00:00:00+00:00,1696
2025-04-23 00:00:00+00:00,1713
2025-04-24 00:00:00+00:00,1737
2025-04-25 00:00:00+00:00,1760
2025-04-26 00:00:00+00:00,1772
2025-04-27 00:00:00+00:00,1786
2025-04-28 00:00:00+00:00,1797
2025-04-29 00:00:00+00:00,1808
2025-04-30 00:00:00+00:00,1820
2025-05-01 00:00:00+00:00,1828
2025-05-02 00:00:00+00:00,1832
2025-05-03 00:00:00+00:00,1841
2025-05-04 00:00:00+00:00,1847
2025-05-05 00:00:00+00:00,1857
2025-05-06 00:00:00+00:00,1871
2025-05-07 00:00:00+00:00,1889
2025-05-08 00:00:00+00:00,1899
2025-05-09 00:00:00+00:00,1906
2025-05-10 00:00:00+00:00,1910
2025-05-11 00:00:00+00:00,1919
